tweetID,month,date,positiveScore,neutralScore,negativeScore,sentimentType,near,keyword,tweet,,
0001,December,30/12/2020,0.00492023,0.487102798,0.507976972,negative,Johor Bahru,marah,cara untuk buat diri sendiri marah tengok drama nur tengok drama nur,,
0002,December,27/12/2020,0.003070156,0.303945459,0.692984385,negative,Johor Bahru,marah,suka aku lah nak masuk team mana pun yang kau marah sangat kenapa aku join team ni pun sebab nak cabar diri aku sendiri takkan asyik nak ikut kau jee macam tak ada life pulak,,
0003,December,24/12/2020,0.001485719,0.147086137,0.851428144,negative,Johor Bahru,kecewa,mampus aku takle kickflip bunuh diri sudah,,
0004,December,23/12/2020,0.004254279,0.421173578,0.574572144,negative,Johor Bahru,kecewa,kecewa nya aku maybe ni kali terakhir aku bagi peluang kat diri aku untuk aku bukan untuk kau atau apa untuk aku,,
0005,December,22/12/2020,0.001233425,0.122109092,0.876657483,negative,Johor Bahru,sedih,bulan cuba untuk kuatkan diri tabahkan diri utk suami tapi malam ni taktahu kenapa sedih sangat bila teringat suami dkt sg tuh,,
0006,December,17/12/2020,0.000505045,0.049999413,0.949495542,negative,Johor Bahru,bunuh diri,nak bunuh diri tapi takut jarum hahaha,,
0007,December,12/12/2020,0.002482264,0.245744092,0.751773644,negative,Johor Bahru,bunuh diri,second case utk minggu ni gaduh dgn gf pestu bunuh diri haritu tikam dada ini bakar diri dgn petrol,,
0008,December,11/12/2020,0.001552056,0.153653563,0.844794381,negative,Johor Bahru,marah,kadang kadang rasa marah kat diri sendiri kenapa baik sangat ngan orang lain sedangkan hm,,
0009,December,10/12/2020,0.001280936,0.126812635,0.871906429,negative,Johor Bahru,bunuh diri,selalu jugak ada org bunuh diri kat sini,,
0010,December,9/12/2020,0.000580735,0.057492753,0.941926512,negative,Johor Bahru,sedih,kadang mmg susah nk percaya tapi bila dh kene kat diri sendiri lagi dgn org yg kita tak sangka buat kita lagi sedih tak tahu la dia org ni fikir ape buat benda syirik mcm ni,,
0011,December,8/12/2020,0.002508057,0.248297615,0.749194329,negative,Johor Bahru,bunuh diri,aredarazali hahahahah jilake aku tengok rasa mcm nak bunuh diri,,
0012,December,8/12/2020,0.002157377,0.213580314,0.784262309,negative,Johor Bahru,marah,aku dua minggu sekali balik kg masa xde pkp setiap kali sambung pkpb sekarang ni mesti aku kol ibu tanya ok tak kadang ibu kol dulu tanya ok x kalau kau nak marah marah diri sendiri sapa suruh xbalik kg selalu,,
0013,December,7/12/2020,0.000647954,0.064147478,0.935204568,negative,Johor Bahru,sedih,unnecessarily creating stress for myself ok so azam nak jadi orang yg boleh ignore je segala benda so i don t need to be hati tisu dok sedih and salahkan diri sendiri,,
0014,December,5/12/2020,0.007545198,0.746974638,0.245480164,neutral,Johor Bahru,bunuh diri,ainnatiqah dah agak ni mesti blok kau mesti blok ni berhantu or ada org pernah bunuh diri babtu kot blok ni terpilih seram hahahaha,,
0015,December,2/12/2020,0.563044014,0.432586426,0.00436956,positive,Johor Bahru,sedih,sebagai pasangan yang belum dikurniakan zuriat yes we are happy spending time together and loving each other so much tapi adakala rasa sunyi adakala rasa sedih adakala rasa teringin and selalu cakap pada diri sendiri allah tahu belum masanya lagi,,
0016,November,29/11/2020,0.000158827,0.015723846,0.984117327,negative,Johor Bahru,marah,dah lama tak marah selalu aku je ckap dkat org jgn marah hari ni diri sendiri yg meletup,,
0017,November,27/11/2020,0.004656446,0.460988128,0.534355426,negative,Johor Bahru,sedih,sedih ke apa ke yang ada untuk diri sendiri adalah diri sendiri je takde orang nak comfort pon so why bother just be happy with yourself lah,,
0018,November,26/11/2020,0.008545077,0.845962574,0.145492349,neutral,Johor Bahru,sedih,milatayweelee paling sedih diorang stay sehab kena suruh stay last crew kapal selamatkan diri sendiri dulu dasar kampret,,
0019,November,25/11/2020,0.008369112,0.828542065,0.163088823,neutral,Johor Bahru,sedih,bila kau sedih jangan cari dia sebab apa sebab walaupun dia tahu cara nak bahagiakan kau dia tetap tak buat nothing jadi lebih baik settle dengan diri sendiri better,,
0020,November,25/11/2020,0.000958638,0.094905206,0.904136155,negative,Johor Bahru,kecewa,aku kecewa dengan diri sendiri,,
0021,November,24/11/2020,0.005907341,0.584826777,0.409265882,neutral,Johor Bahru,bunuh diri,org kayuh mins jam tu kayuhhh je kita kayuh mins w high resistance baru warm up jee lepaas tu kita bunuh diri,,
0022,November,23/11/2020,0.003286251,0.325338847,0.671374902,negative,Johor Bahru,kecewa,dengan tgah kecewa dengan hidup jumaat ni last day kerja ipa x keluar lagi result semalam kerja part time smpai pagi niat kecil nak sambung master x tertunai lagi fikir kewangan semakin mengecil border buka tahun lagi tahu bunuh diri itu sesuatu benda dimurkai allah,,
0023,November,22/11/2020,0.006713615,0.664647908,0.328638477,neutral,Johor Bahru,bunuh diri,xpac k kuasasiswa apa kata kau doakan dia bunuh diri tiap kali kau solat lima kali sehari kalau hari hari mesti allah kabulkan doa tu dari timeline aku rasa kau tak tinggalkan solat kan,,
0024,November,21/11/2020,0.004673234,0.462650153,0.532676613,negative,Johor Bahru,bunuh diri,whoaa tggi kes bunuh diri johor paling tinggi,,
0025,November,18/11/2020,0.000983632,0.097379596,0.901636772,negative,Johor Bahru,sedih,rasa tanak teruskan hidup boleh tak sebab diri saya hanya buat orang lain sedih jer,,
0026,November,16/11/2020,0.002195737,0.217377935,0.780426328,negative,Johor Bahru,marah,i mean aku marah jugak tp takde la cakap macam takde iman ko tau tak faham doh dia ni bad mood semua dia tapau baguslah dulu cakap org kan skrg diri sendiri jadi tulah lain kali jangan tunding jari dkt org mmg allah bagi satu hari nnt,,
0027,November,15/11/2020,0.000197722,0.019574459,0.980227819,negative,Johor Bahru,bunuh diri,silap silap kadar bunuh diri ni makin lama makin meningkat sebab ramaj gila yang stress dengan pkp ni,,
0028,November,10/11/2020,0.249421787,0.743072431,0.007505782,neutral,Johor Bahru,sedih,mem sedih le kalau kau nak reward diri kau masa birthday kau,,
0029,November,7/11/2020,0.271151673,0.721559843,0.007288483,neutral,Johor Bahru,sedih,sedih pulak dah sampai last page sejujurnya aku rasa happy bila baca buku ni sebab boleh relate dengan diri sendiri rasa macam finally ada jugak orang acknowledge kita terima kasih penulis aimanpsikolog aqilamasri,,
0030,November,7/11/2020,0.000823774,0.081553642,0.917622583,negative,Johor Bahru,sedih,i pandai bila advice kawan tgh down ke sedih tapi bila kena kat diri sendiri tak boleh handle haih,,
0031,November,6/11/2020,0.003973974,0.393423434,0.602602592,negative,Johor Bahru,bunuh diri,zatybaha tak nanti bunuh diri mcm uncle tu,,
0032,November,3/11/2020,0.001233433,0.122109844,0.876656723,negative,Johor Bahru,bunuh diri,abdulmallek sebelum bunuh diri tu santau la sape yang sebar xad biar sama menderita sampai kiamat,,
0033,November,3/11/2020,0.60821712,0.387865052,0.003917829,positive,Johor Bahru,#COVID19,gunakan telefon pintar anda untuk scan qr code aplikasi mysejahtera atau tulis butir diri dgn betul dalam buku rekod yang telah disediakan apabila sampai di premis sumber kkmputrajaya covid kitateguhkitamenang komunikasikita jabatanpenerangan makmurjohor jauharku,,
0034,November,3/11/2020,0.007079426,0.700863214,0.29205736,neutral,Johor Bahru,bunuh diri,zarasyed bunuh diri,,
0035,November,1/11/2020,0.001564214,0.154857224,0.843578562,negative,Johor Bahru,marah,sebab tu la malas berjanji aku janji dengan diri sendiri nak balik kl minggu ni pun aku jadi marah dengan diri sendiri sebab tak boleh balik aishhhh,,
0036,October,30/10/2020,0.0002931,0.029016932,0.970689968,negative,Johor Bahru,bunuh diri,duit kwsp duit simpanan pekerja duit ni la nak bantu pekerja yg kena buang kerja dikala covid nak tgk depa bunuh diri akibat murung ka,,
