id,user_id,username,date,near,tweet
1343960000000000000,605654006,sxnner,30/12/2020,Johor Bahru,cara untuk buat diri sendiri marah: 1) tengok drama Nur 2) tengok drama Nur 2
1343170000000000000,428696229,azuraaris_,27/12/2020,Johor Bahru,"Suka aku lah nak masuk team mana pun yang kau marah sangat kenapa aku join team ni pun sebab nak cabar diri aku sendiri, takkan asyik nak ikut kau jee macam tak ada life pulak."
1342120000000000000,3099428958,_shhhaafffiqqqq,24/12/2020,Johor Bahru,"Mampus aku takle kickflip, bunuh diri sudah 😭😭😭"
1341760000000000000,1113776040,nurliyana_k,23/12/2020,Johor Bahru,"Kecewa nya aku, maybe ni kali terakhir aku bagi peluang kat diri aku untuk aku. Bukan untuk kau atau apa2. Untuk aku"
1341380000000000000,1381882122,norazlinasaat,22/12/2020,Johor Bahru,"9 bulan cuba untuk kuatkan diri, tabahkan diri utk suami tapi malam ni taktahu kenapa sedih sangat bila teringat suami dkt sg tuh 😔"
1339450000000000000,8.42646E+17,wanataha,17/12/2020,Johor Bahru,nak bunuh diri tapi takut jarum hahaha
1337700000000000000,949698080,najazulkhairi,12/12/2020,Johor Bahru,"Second case utk minggu ni. Gaduh dgn gf pestu bunuh diri. Haritu tikam dada, ini bakar diri dgn petrol"
1337070000000000000,9.97001E+17,nisanzlyn,11/12/2020,Johor Bahru,kadang kadang rasa marah kat diri sendiri kenapa baik sangat ngan orang lain sedangkan hm
1336990000000000000,1.07778E+18,arifah_sekare,10/12/2020,Johor Bahru,Selalu jugak ada org bunuh diri kat sini 😂
1336460000000000000,519230045,fafaanajwa,9/12/2020,Johor Bahru,Kadang mmg susah nk percaya tapi bila dh kene kat diri sendiri lagi2 dgn org yg kita tak sangka buat kita lagi sedih tak tahu la dia org ni fikir ape buat benda2 syirik mcm ni 🥲
1336300000000000000,453898572,perfcuktion,8/12/2020,Johor Bahru,@AREDArazali Hahahahah jilake aku tengok rasa mcm nak bunuh diri
1336180000000000000,458046028,aqwaasyraff,8/12/2020,Johor Bahru,"Aku dua minggu sekali balik kg masa xde pkp. Setiap kali sambung pkpb sekarang ni, mesti aku kol ibu tanya ok tak, kadang2 ibu kol dulu tanya ok x. Kalau kau nak marah, marah diri sendiri, sapa suruh xbalik kg selalu."
1335780000000000000,225460941,dayahmg,7/12/2020,Johor Bahru,Unnecessarily creating stress for myself.  Ok so azam 2021: nak jadi orang yg boleh ignore je segala benda. So I don't need to be hati tisu dok sedih and salahkan diri sendiri.
1335180000000000000,39743626,ibnu_m0hammad,5/12/2020,Johor Bahru,@AinnAtiqah Dah agak..  Ni mesti blok kau..  Mesti blok ni berhantu or ada org pernah bunuh diri..  Babtu kot blok ni terpilih..  Seram..  Hahahaha
1334000000000000000,1041565368,nurulnaziefa_,2/12/2020,Johor Bahru,"Sebagai pasangan yang belum dikurniakan zuriat, YES! We are happy, spending time together and loving each other so much. Tapi adakala rasa sunyi, adakala rasa sedih, adakala rasa teringin. And selalu cakap pada diri sendiri, Allah tahu belum masanya lagi."
1333080000000000000,236748480,nazirulnasran,30/11/2020,Johor Bahru,Kalau bunuh diri tu dosa
1332910000000000000,519230045,fafaanajwa,29/11/2020,Johor Bahru,Dah lama tak marah selalu aku je ckap dkat org jgn marah2 hari ni diri sendiri yg meletup 🤣
1332270000000000000,2412570463,fazirasfh,27/11/2020,Johor Bahru,"Sedih ke apa ke yang ada untuk diri sendiri adalah diri sendiri je. Takde orang nak comfort pon. So why bother, just be happy with yourself lah ┐(￣ヘ￣)┌"
1331930000000000000,566840981,nadianaimm,26/11/2020,Johor Bahru,@milatayweelee Paling sedih diorang stay sehab kena suruh stay last2 crew kapal selamatkan diri sendiri dulu. Dasar kampret. 🤬
1331560000000000000,8.91215E+17,esahhh_,25/11/2020,Johor Bahru,"Bila kau sedih jangan cari dia. Sebab apa? Sebab walaupun dia tahu cara nak bahagiakan kau, dia tetap tak buat. Nothing. Jadi lebih baik, settle dengan diri sendiri. Better."
1331530000000000000,9.97001E+17,nisanzlyn,25/11/2020,Johor Bahru,aku kecewa dengan diri sendiri 🥺
1331040000000000000,1354228176,jalil_iskandar,24/11/2020,Johor Bahru,"""Org kayuh 45mins - 1 jam tu kayuhhh je.... kita kayuh 20mins w high resistance baru warm up jee lepaas tu kita bunuh diri""  🤣🤣🤣🤣😂"
1330730000000000000,401213929,abdullatiffazmi,23/11/2020,Johor Bahru,"dengan tgah kecewa dengan hidup, jumaat ni last day kerja, ipa x keluar lagi result, semalam kerja part time smpai 1 pagi, niat kecil nak sambung master x tertunai lagi, fikir kewangan semakin mengecil, border buka 2 tahun lagi.   tahu, bunuh diri itu sesuatu benda dimurkai allah"
1330220000000000000,22144476,zaihanisme,22/11/2020,Johor Bahru,"@xpac_2k @kuasasiswa Apa kata kau doakan dia bunuh diri, tiap kali kau solat? Lima kali sehari, kalau hari-hari mesti Allah kabulkan doa tu? Dari timeline, aku rasa kau tak tinggalkan solat, kan?   👀"
1329850000000000000,52997613,insanbiasajela,21/11/2020,Johor Bahru,Whoaa.. Tggi kes bunuh diri &amp; Johor paling tinggi.. 🤦🏽‍♂️
1329050000000000000,8.95648E+17,hady_razak,18/11/2020,Johor Bahru,"Rasa tanak teruskan hidup boleh tak, sebab diri saya hanya buat orang lain sedih jer 🙏"
1328360000000000000,195690494,lenatikah,16/11/2020,Johor Bahru,I mean aku marah jugak tp takde la cakap macam takde iman ko tau. Tak faham doh dia ni bad mood semua dia tapau. Baguslah dulu cakap org kan skrg diri sendiri jadi tulah lain kali jangan tunding jari dkt org mmg Allah bagi satu hari nnt.
1328250000000000000,134740930,shah_indra,16/11/2020,Johor Bahru,@annamohktarz Betul tu anna.. sedih ada kwn rapat i kt fb siap ckp “org main twitter ni bodoh”. Ermm padahal dia tahu i kwn dia yg main twitter. Ntah kenapa bila bercakap tak fikir &amp; rasa diri dia shj yg betul. Pastu sanggup create acc Twitter nk stalk ye.. so toxic people ni bye2 diucapkan.
1327670000000000000,257975602,meanmijer,15/11/2020,Johor Bahru,Silap silap kadar bunuh diri ni makin lama makin meningkat sebab ramaj gila yang stress dengan pkp ni.
1326170000000000000,8.91215E+17,esahhh_,10/11/2020,Johor Bahru,Mem 'sedih le kalau kau nak reward diri kau masa birthday kau'  :)))
1325090000000000000,178704712,naqiyananis,7/11/2020,Johor Bahru,Sedih pulak dah sampai last page. Sejujurnya aku rasa happy bila baca buku ni sebab 95% boleh relate dengan diri sendiri. Rasa macam finally ada jugak orang acknowledge kita. Terima kasih penulis @AimanPsikologi @aqilamasri 🥺  https://t.co/WZeeDYUoO8
1324940000000000000,609277610,farrahannis,7/11/2020,Johor Bahru,"I pandai bila advice kawan tgh down ke sedih, tapi bila kena kat diri sendiri tak boleh handle haih"
1324690000000000000,1141700714,hqlarshd,6/11/2020,Johor Bahru,@zatybaha Tak. Nanti bunuh diri mcm uncle tu.
1323540000000000000,353128154,nataashalee,3/11/2020,Johor Bahru,@abdul_mallek90 Sebelum bunuh diri tu santau la sape yang sebar 😭😭 biar sama2 menderita sampai kiamat
1323460000000000000,2903187272,pmrutcjohor,3/11/2020,Johor Bahru,Gunakan telefon pintar anda untuk 'scan QR code' aplikasi MySejahtera atau tulis butir diri dgn betul dalam buku rekod yang telah disediakan apabila sampai di premis.  Sumber: @KKMPutrajaya   #COVID19 #KitaTeguhKitaMenang #KomunikasiKita #JabatanPenerangan #MakmurJohor #Jauharku
1323450000000000000,235877659,eelharm,3/11/2020,Johor Bahru,@Zara_Syed Bunuh diri?
1322780000000000000,458046028,aqwaasyraff,1/11/2020,Johor Bahru,"Sebab tu la malas berjanji,  Aku janji dengan diri sendiri nak balik kl minggu ni pun aku jadi marah dengan diri sendiri sebab tak boleh balik. 😩😩  Aishhhh"
1322070000000000000,95638967,kartunisgandum,30/10/2020,Johor Bahru,duit KWSP duit simpanan pekerja.duit ni la nak bantu pekerja / yg kena buang kerja dikala covid . nak tgk depa bunuh diri akibat murung ka?
1321450000000000000,425858443,farisaddy,28/10/2020,Johor Bahru,"Teringin nak jadi manusia yang boleh tahan diri dari marah dan boleh sabar dengan semua benda tapi kita cuma manusia biasa, kadang-kadang tewas juga."
1321410000000000000,557615527,ayenrayn,28/10/2020,Johor Bahru,@Ain_Aryanna Skrg korea thailand semua aku tgk. Pastu sedih sendiri sis kenangkan diri x laku2 hahaha
1321150000000000000,270965120,kaiokaiokaio,28/10/2020,Johor Bahru,Haramjadah betul ada amoi nak bunuh diri terjun dari tingkat 5
1320980000000000000,1.04106E+18,shahrilskates,27/10/2020,Johor Bahru,hari ii kecewa dengan diri sendiri
1320770000000000000,333316043,madyasirab,27/10/2020,Johor Bahru,"Pendirian aku dari Langkah Sheraton hingga hari ini tetap.  UMNO perlu kuat sendiri, bukan hanya mengharap dan menumpang parti lain (Lawan) untuk kekal / jadi kerajaan.  Harap Tok Zahid muhasabah diri. Sebagai ahli UMNO, aku kecewa dan sedih tengok keadaan UMNO hari ini.  https://t.co/eWnIs4mNTm"
1320050000000000000,259380565,anakciknan,25/10/2020,Johor Bahru,"Mak dario, lucinda bunuh diri sebab tak sanggup tanggung penipuan"
1319680000000000000,1.16405E+18,athiraasaiman,24/10/2020,Johor Bahru,"jangan acah acah marah kawan sendiri sebab nak jaga diri kawan sangat, pergi jaga diri sendiri. takut tertelan banyak roll 😘"
1319570000000000000,2482414992,fatinizolkafli2,23/10/2020,Johor Bahru,The hell... Kedarah ape 1 bulan dpt 100k gaji. Lol kau kuarantin je da 4 minggu..free2 je mkn duit rakyat. Rakyat suffer smpai bunuh diri la... Jwb la korg kat bwh nnti.
1319210000000000000,8.44044E+17,zhrzainudin,22/10/2020,Johor Bahru,Agak kecewa dengan diri sendiri 🙂
1318060000000000000,2814494432,haireymht,19/10/2020,Johor Bahru,"Kejadian bunuh diri,tak kuat jangan tengok. 😱😩😫  info dari group whatsapp.  https://t.co/tZGh7vgie1"
1317830000000000000,614172104,yann_bell,18/10/2020,Johor Bahru,"masa tu belum ada mental health awareness lagi. Bayangkan budak umur 9 tahun rasa sampai nak bunuh diri sebab cikgu BI dia selalu marah2 &amp; hina2 sebab dia tak pandai. Nasib baik ada sorang cikgu baik hati, akan aku kenang jasa dia sampai bila2"
1316020000000000000,333316043,madyasirab,13/10/2020,Johor Bahru,"Oleh itu, face mask wajib pakai. Bukan untuk lindungi diri kau semata-mata, tapi untuk elakkan diri kau jadi penyebar Covid-19. Macam aku cakap tadi, kau (Yang belum pernah swab test) belum tentu negatif.  Apa-apa pun, jaga diri semua !  #KitaJagaKita"
1316000000000000000,904054045,wmswaj,13/10/2020,Johor Bahru,"Bila kena lockdown ni ofc akan ada side effect dalam diri kita. Paling terkesan adalah mental kita sendiri. Jadi untuk kawan-kawan di Selangor, KL, Putrajaya semoga tabah dan kuat menjalani PKPB mulai esok🥰❤️#KitaJagaKita"
1315220000000000000,71155978,ezardzainal_,11/10/2020,Johor Bahru,"Dik lepas ni kalau kau tertekan pastu ugut nak bunuh diri pun, orang buat bodoh je. LAYAK!"
1314570000000000000,397966748,veloruntheworld,9/10/2020,Johor Bahru,"Kalau jurusan sosial, Mungkin bisa bikin CV berbunga2 &amp; hiperbola. Dibidang IT/design Sama aja bunuh diri. Ngaku2 bisa skill yg kita tau hanya surface, pas dihire gak bisa ngapa2in. Bisa langsung dipecat di hari pertama!!"
1313470000000000000,215556269,abeeam_,6/10/2020,Johor Bahru,Sedih dengan diri sendiri sebab tak pandai mendidik
1313130000000000000,1025810876,yatttt__,5/10/2020,Johor Bahru,"Kena marah sikit je arini. But, sampai skg aku terasa. 😌  Tapi keluar sorang diri after Maghrib sebab ada urusan. Lepas tu, aku boleh teringat setiap butir kejadian 2 tahun lepas dan ia buat aku jadi takut sangat².  Rasa nak menangis. Jantung berdegup laju. 🙃"
1313060000000000000,3178124946,nurnilamsariii_,5/10/2020,Johor Bahru,"@fatyhaxx alone. sebab, kita sedih. kita betul betul perlukan masa untuk kita faham diri kita sendiri. duduk. tenangkan diri. orang lain takkan sepenuhnya faham kita. kita kena calm down. lepastu, sy selalu pujuk diri, cakap kt diri sendiri takpe. it's okay. kalau perlu nangis. nangis je"
1312080000000000000,4284068952,sydmhmdhzq,3/10/2020,Johor Bahru,Happy beday antekk botakss sll ada bersama ku ssh senang gelak tawa sedih😂😂😂🥳🥳🥳the best friend ever mmg termasuk kedalam air laut😂😂😂berfikiran matang...x pndai ucap pnjg lebar have a nice day jaga diri kt LD tu ko balik kita vibing okey @rizqinhusnan  https://t.co/dGh9ZECmt6
1311650000000000000,14969221,izzuddinsafuan,1/10/2020,Johor Bahru,@SyaFyn Sedih la sya kita je jaga diri tapi ramai yang tak peduli pun
1311600000000000000,2835335905,matynputra,1/10/2020,Johor Bahru,"Palabuto. Remote aircon kalau tak tahu pakai, korang gi bunuh diri sudah."
1311310000000000000,1021426435,cikwawa_hassan,30/9/2020,Johor Bahru,sis tak diajar utk berdendam dgn org yg lebih tua. tapi bila melibatkan arwah ayah hati mana yg tak rasa sedih org bersuara dgn nada perli seolah  kami dua beradik tak ingat kubur arwah ayah kat kelantan tu. cuma bila mcm ni cuba muhasabah diri sendiri dan alhamdulilah no dendam
1310740000000000000,1932953730,lareinechika,29/9/2020,Johor Bahru,"@cokolatstoberi Hmmmmmm. Kan? Kalau x, xkan la ada yg sampai nak bunuh diri. Some said, mcm overthinking."
