TweetID,date,positiveScore,neutralScore,negativeScore,sentimentType,location,keyword,unigram,tweet
0001,30/12/2020,0.00492023,0.487102798,0.507976972,negative,Johor Bahru,marah,"cara', 'untuk', 'buat', 'diri', 'sendiri', 'marah', '1', 'tengok', 'drama', 'nur', '2', 'tengok', 'drama', 'nur', '2'",cara untuk buat diri sendiri marah 1 tengok drama Nur 2 tengok drama Nur 2
0002,27/12/2020,0.003070156,0.303945459,0.692984385,negative,Johor Bahru,marah,"suka', 'aku', 'lah', 'nak', 'masuk', 'team', 'mana', 'pun', 'yang', 'kau', 'marah', 'sangat', 'kenapa', 'aku', 'join', 'team', 'ni', 'pun', 'sebab', 'nak', 'cabar', 'diri', 'aku', 'sendiri', 'takkan', 'asyik', 'nak', 'ikut', 'kau', 'jee', 'macam', 'tak', 'ada', 'life', 'pulak'",suka aku lah nak masuk team mana pun yang kau marah sangat kenapa aku join team ni pun sebab nak cabar diri aku sendiri takkan asyik nak ikut kau jee macam tak ada life pulak
0003,24/12/2020,0.001485719,0.147086137,0.851428144,negative,Johor Bahru,kecewa,"mampus', 'aku', 'takle', 'kickflip', 'bunuh', 'diri', 'sudah'",Mampus aku takle kickflip bunuh diri sudah
0004,23/12/2020,0.004254279,0.421173578,0.574572144,negative,Johor Bahru,kecewa,"kecewa', 'nya', 'aku', 'maybe', 'ni', 'kali', 'terakhir', 'aku', 'bagi', 'peluang', 'kat', 'diri', 'aku', 'untuk', 'aku', 'bukan', 'untuk', 'kau', 'atau', 'apa2', 'untuk', 'aku'",kecewa nya aku maybe ni kali terakhir aku bagi peluang kat diri aku untuk aku bukan untuk kau atau apa2 untuk aku
0005,22/12/2020,0.001233425,0.122109092,0.876657483,negative,Johor Bahru,sedih,"9', 'bulan', 'cuba', 'untuk', 'kuatkan', 'diri', 'tabahkan', 'diri', 'utk', 'suami', 'tapi', 'malam', 'ni', 'taktahu', 'kenapa', 'sedih', 'sangat', 'bila', 'teringat', 'suami', 'dkt', 'sg', 'tuh'",9 bulan cuba untuk kuatkan diri tabahkan diri utk suami tapi malam ni taktahu kenapa sedih sangat bila teringat suami dkt sg tuh
0006,17/12/2020,0.000505045,0.049999413,0.949495542,negative,Johor Bahru,bunuh diri,"nak', 'bunuh', 'diri', 'tapi', 'takut', 'jarum', 'hahaha'",nak bunuh diri tapi takut jarum hahaha
0007,12/12/2020,0.002482264,0.245744092,0.751773644,negative,Johor Bahru,bunuh diri,"second', 'case', 'utk', 'minggu', 'ni', 'gaduh', 'dgn', 'gf', 'pestu', 'bunuh', 'diri', 'haritu', 'tikam', 'dada', 'ini', 'bakar', 'diri', 'dgn', 'petrol'",second case utk minggu ni gaduh dgn gf pestu bunuh diri haritu tikam dada ini bakar diri dgn petrol
0008,11/12/2020,0.001552056,0.153653563,0.844794381,negative,Johor Bahru,marah,"kadang', 'kadang', 'rasa', 'marah', 'kat', 'diri', 'sendiri', 'kenapa', 'baik', 'sangat', 'ngan', 'orang', 'lain', 'sedangkan', 'hm'",kadang kadang rasa marah kat diri sendiri kenapa baik sangat ngan orang lain sedangkan hm
0009,10/12/2020,0.001280936,0.126812635,0.871906429,negative,Johor Bahru,bunuh diri,"selalu', 'jugak', 'ada', 'org', 'bunuh', 'diri', 'kat', 'sini'",selalu jugak ada org bunuh diri kat sini
0010,9/12/2020,0.000580735,0.057492753,0.941926512,negative,Johor Bahru,sedih,"kadang', 'mmg', 'susah', 'nk', 'percaya', 'tapi', 'bila', 'dh', 'kene', 'kat', 'diri', 'sendiri', 'lagi2', 'dgn', 'org', 'yg', 'kita', 'tak', 'sangka', 'buat', 'kita', 'lagi', 'sedih', 'tak', 'tahu', 'la', 'dia', 'org', 'ni', 'fikir', 'ape', 'buat', 'benda2', 'syirik', 'mcm', 'ni'",kadang mmg susah nk percaya tapi bila dh kene kat diri sendiri lagi2 dgn org yg kita tak sangka buat kita lagi sedih tak tahu la dia org ni fikir ape buat benda2 syirik mcm ni
