tweetID,positiveScore,neutralScore,negativeScore,sentimentType,location,keyword,unigram,tweet
605654006,0.00492023,0.487102798,0.507976972,negative,Johor Bahru,marah,"cara', 'untuk', 'buat', 'diri', 'sendiri', 'marah', ':', '1', ')', 'tengok', 'drama', 'nur', '2', ')', 'tengok', 'drama', 'nur', '2'",cara untuk buat diri sendiri marah 1 tengok drama Nur 2 tengok drama Nur 2
428696229,0.003070156,0.303945459,0.692984385,negative,Johor Bahru,marah,"suka', 'aku', 'lah', 'nak', 'masuk', 'team', 'mana', 'pun', 'yang', 'kau', 'marah', 'sangat', 'kenapa', 'aku', 'join', 'team', 'ni', 'pun', 'sebab', 'nak', 'cabar', 'diri', 'aku', 'sendiri', ',', 'takkan', 'asyik', 'nak', 'ikut', 'kau', 'jee', 'macam', 'tak', 'ada', 'life', 'pulak', '.'",suka aku lah nak masuk team mana pun yang kau marah sangat kenapa aku join team ni pun sebab nak cabar diri aku sendiri takkan asyik nak ikut kau jee macam tak ada life pulak
3099428958,0.001485719,0.147086137,0.851428144,negative,Johor Bahru,kecewa,"mampus', 'aku', 'takle', 'kickflip', ',', 'bunuh diri', 'sudah'",Mampus aku takle kickflip bunuh diri sudah
1113776040,0.004254279,0.421173578,0.574572144,negative,Johor Bahru,kecewa,"kecewa', 'nya', 'aku', ',', 'maybe', 'ni', 'kali', 'terakhir', 'aku', 'bagi', 'peluang', 'kat', 'diri', 'aku', 'untuk', 'aku', '.', 'bukan', 'untuk', 'kau', 'atau', 'apa2', '.', 'untuk', 'aku'",kecewa nya aku maybe ni kali terakhir aku bagi peluang kat diri aku untuk aku bukan untuk kau atau apa2 untuk aku
1381882122,0.001233425,0.122109092,0.876657483,negative,Johor Bahru,sedih,"9', 'bulan', 'cuba', 'untuk', 'kuatkan', 'diri', ',', 'tabahkan', 'diri', 'utk', 'suami', 'tapi', 'malam', 'ni', 'taktahu', 'kenapa', 'sedih', 'sangat', 'bila', 'teringat', 'suami', 'dkt', 'sg', 'tuh'",9 bulan cuba untuk kuatkan diri tabahkan diri utk suami tapi malam ni taktahu kenapa sedih sangat bila teringat suami dkt sg tuh
8.43E+17,0.000505045,0.049999413,0.949495542,negative,Johor Bahru,bunuh diri,"nak', 'bunuh diri', 'tapi', 'takut', 'jarum', 'hahaha'",nak bunuh diri tapi takut jarum hahaha
949698080,0.002482264,0.245744092,0.751773644,negative,Johor Bahru,bunuh diri,"second', 'case', 'utk', 'minggu', 'ni', '.', 'gaduh', 'dgn', 'gf', 'pestu', 'bunuh diri', '.', 'haritu', 'tikam', 'dada', ',', 'ini', 'bakar', 'diri', 'dgn', 'petrol'",second case utk minggu ni gaduh dgn gf pestu bunuh diri haritu tikam dada ini bakar diri dgn petrol
9.97E+17,0.001552056,0.153653563,0.844794381,negative,Johor Bahru,marah,"kadang', 'kadang', 'rasa', 'marah', 'kat', 'diri', 'sendiri', 'kenapa', 'baik', 'sangat', 'ngan', 'orang', 'lain', 'sedangkan', 'hm'",kadang kadang rasa marah kat diri sendiri kenapa baik sangat ngan orang lain sedangkan hm
1.08E+18,0.001280936,0.126812635,0.871906429,negative,Johor Bahru,bunuh diri,"selalu', 'jugak', 'ada', 'org', 'bunuh diri', 'kat', 'sini'",selalu jugak ada org bunuh diri kat sini
519230045,0.000580735,0.057492753,0.941926512,negative,Johor Bahru,sedih,"kadang', 'mmg', 'susah', 'nk', 'percaya', 'tapi', 'bila', 'dh', 'kene', 'kat', 'diri', 'sendiri', 'lagi2', 'dgn', 'org', 'yg', 'kita', 'tak', 'sangka', 'buat', 'kita', 'lagi', 'sedih', 'tak', 'tahu', 'la', 'dia', 'org', 'ni', 'fikir', 'ape', 'buat', 'benda2', 'syirik', 'mcm', 'ni'",kadang mmg susah nk percaya tapi bila dh kene kat diri sendiri lagi2 dgn org yg kita tak sangka buat kita lagi sedih tak tahu la dia org ni fikir ape buat benda2 syirik mcm ni
453898572,0.002508057,0.248297615,0.749194329,negative,Johor Bahru,bunuh diri,"aredarazali', 'hahahahah', 'jilake', 'aku', 'tengok', 'rasa', 'mcm', 'nak', 'bunuh diri'",AREDArazali Hahahahah jilake aku tengok rasa mcm nak bunuh diri
458046028,0.002157377,0.213580314,0.784262309,negative,Johor Bahru,marah,"aku', 'dua', 'minggu', 'sekali', 'balik', 'kg', 'masa', 'xde', 'pkp', '.', 'setiap', 'kali', 'sambung', 'pkpb', 'sekarang', 'ni', ',', 'mesti', 'aku', 'kol', 'ibu', 'tanya', 'ok', 'tak', ',', 'kadang2', 'ibu', 'kol', 'dulu', 'tanya', 'ok', 'x', '.', 'kalau',  'kau', 'nak', 'marah', ',', 'marah', 'diri', 'sendiri', ',', 'sapa', 'suruh', 'xbalik', 'kg', 'selalu', '.'",aku dua minggu sekali balik kg masa xde pkp setiap kali sambung pkpb sekarang ni mesti aku kol ibu tanya ok tak kadang2 ibu kol dulu tanya ok x kalau kau nak marah marah diri sendiri sapa suruh xbalik kg selalu
225460941,0.000647954,0.064147478,0.935204568,negative,Johor Bahru,sedih,"unnecessarily', 'creating', 'stress', 'for', 'myself', '.', 'ok', 'so', 'azam', '2021', ':', 'nak', 'jadi', 'orang', 'yg', 'boleh', 'ignore', 'je', 'segala', 'benda', '.', 'so', 'i', ""don't"", 'need', 'to', 'be', 'hati', 'tisu', 'dok', 'sedih', 'and', 'salahkan', 'diri', 'sendiri', '.'",unnecessarily creating stress for myself ok so azam 2021 nak jadi orang yg boleh ignore je segala benda so I don't need to be hati tisu dok sedih and salahkan diri sendiri
39743626,0.007545198,0.746974638,0.245480164,neutral,Johor Bahru,bunuh diri,"ainnatiqah', 'dah', 'agak', '.', '.', 'ni', 'mesti', 'blok', 'kau', '.', '.', 'mesti', 'blok', 'ni', 'berhantu', 'or', 'ada', 'org', 'pernah', 'bunuh diri', '.', '.', 'babtu', 'kot', 'blok', 'ni', 'terpilih', '.', '.', 'seram', '.', '.', 'hahahaha'",ainnatiqah dah agak ni mesti blok kau mesti blok ni berhantu or ada org pernah bunuh diri babtu kot blok ni terpilih seram hahahaha
