date,time,user_id,username,name,,tweet,language,link,near
30/12/2020,0:52:27,605654006,sxnner,Achik Spin,marah,cara untuk buat diri sendiri marah: 1) tengok drama Nur 2) tengok drama Nur 2,in,https://twitter.com/sxnner/status/1343963100777615361,Johor Bahru
27/12/2020,20:12:05,428696229,azuraaris_,اا,marah,"Suka aku lah nak masuk team mana pun yang kau marah sangat kenapa aku join team ni pun sebab nak cabar diri aku sendiri, takkan asyik nak ikut kau jee macam tak ada life pulak.",in,https://twitter.com/azuraaris_/status/1343167767747252225,Johor Bahru
24/12/2020,22:46:10,3099428958,_shhhaafffiqqqq,Phillip J. Fry,kecewa,"Mampus aku takle kickflip, bunuh diri sudah 😭😭😭",in,https://twitter.com/_shhhaafffiqqqq/status/1342119382361669632,Johor Bahru
23/12/2020,22:57:10,1113776040,nurliyana_k,.,kecewa,"Kecewa nya aku, maybe ni kali terakhir aku bagi peluang kat diri aku untuk aku. Bukan untuk kau atau apa2. Untuk aku",in,https://twitter.com/nurliyana_k/status/1341759761503584264,Johor Bahru
22/12/2020,21:52:57,1381882122,norazlinasaat,misslinaaaaa.,sedih,"9 bulan cuba untuk kuatkan diri, tabahkan diri utk suami tapi malam ni taktahu kenapa sedih sangat bila teringat suami dkt sg tuh 😔",in,https://twitter.com/Norazlinasaat/status/1341381213886398464,Johor Bahru
17/12/2020,13:40:58,8.43E+17,wanataha,anxietrick,bunuh diri,nak bunuh diri tapi takut jarum hahaha,in,https://twitter.com/wanataha/status/1339445460046495745,Johor Bahru
12/12/2020,18:05:29,949698080,najazulkhairi,𝑅𝒶𝓅𝓊𝓃𝓏𝑒𝓁💍,bunuh diri,"Second case utk minggu ni. Gaduh dgn gf pestu bunuh diri. Haritu tikam dada, ini bakar diri dgn petrol",in,https://twitter.com/NajaZulkhairi/status/1337700088429203459,Johor Bahru
11/12/2020,0:11:13,9.97E+17,nisanzlyn,nicalyn,marah,kadang kadang rasa marah kat diri sendiri kenapa baik sangat ngan orang lain sedangkan hm,in,https://twitter.com/nisanzlyn/status/1337067354816122882,Johor Bahru
10/12/2020,19:05:35,1.08E+18,arifah_sekare,master yoon,bunuh diri,Selalu jugak ada org bunuh diri kat sini 😂,in,https://twitter.com/arifah_sekare/status/1336990439878975494,Johor Bahru
9/12/2020,8:03:26,519230045,fafaanajwa,Faa,sedih,Kadang mmg susah nk percaya tapi bila dh kene kat diri sendiri lagi2 dgn org yg kita tak sangka buat kita lagi sedih tak tahu la dia org ni fikir ape buat benda2 syirik mcm ni 🥲,in,https://twitter.com/FafaaNajwa/status/1336461415289274368,Johor Bahru
8/12/2020,21:19:54,453898572,perfcuktion,xRentaka,bunuh diri,@AREDArazali Hahahahah jilake aku tengok rasa mcm nak bunuh diri,in,https://twitter.com/perfcuktion/status/1336299464126914561,Johor Bahru
8/12/2020,13:41:22,458046028,aqwaasyraff,Aqwa,marah,"Aku dua minggu sekali balik kg masa xde pkp. Setiap kali sambung pkpb sekarang ni, mesti aku kol ibu tanya ok tak, kadang2 ibu kol dulu tanya ok x. Kalau kau nak marah, marah diri sendiri, sapa suruh xbalik kg selalu.",in,https://twitter.com/AqwaAsyraff/status/1336184069982310404,Johor Bahru
7/12/2020,10:57:15,225460941,dayahmg,达雅❤,sedih,Unnecessarily creating stress for myself.  Ok so azam 2021: nak jadi orang yg boleh ignore je segala benda. So I don't need to be hati tisu dok sedih and salahkan diri sendiri.,in,https://twitter.com/dayahMG/status/1335780382722035712,Johor Bahru
5/12/2020,19:02:29,39743626,ibnu_m0hammad,zulzika mohammad,bunuh diri,@AinnAtiqah Dah agak..  Ni mesti blok kau..  Mesti blok ni berhantu or ada org pernah bunuh diri..  Babtu kot blok ni terpilih..  Seram..  Hahahaha,in,https://twitter.com/ibnu_m0hammad/status/1335177717919059969,Johor Bahru
2/12/2020,13:16:18,1041565368,nurulnaziefa_,نور النظيفة,sedih,"Sebagai pasangan yang belum dikurniakan zuriat, YES! We are happy, spending time together and loving each other so much. Tapi adakala rasa sunyi, adakala rasa sedih, adakala rasa teringin. And selalu cakap pada diri sendiri, Allah tahu belum masanya lagi.",in,https://twitter.com/NurulNaziefa_/status/1334003437999034368,Johor Bahru
30/11/2020,0:17:11,236748480,nazirulnasran,БангНазз,bunuh diri,Kalau bunuh diri tu dosa,in,https://twitter.com/NazirulNasran/status/1333082590111141890,Johor Bahru
29/11/2020,12:45:39,519230045,fafaanajwa,Faa,marah,Dah lama tak marah selalu aku je ckap dkat org jgn marah2 hari ni diri sendiri yg meletup 🤣,in,https://twitter.com/FafaaNajwa/status/1332908559558799360,Johor Bahru
27/11/2020,18:45:00,2412570463,fazirasfh,ʕ´•ᴥ•`ʔ,sedih,"Sedih ke apa ke yang ada untuk diri sendiri adalah diri sendiri je. Takde orang nak comfort pon. So why bother, just be happy with yourself lah ┐(￣ヘ￣)┌",in,https://twitter.com/fazirasfh/status/1332274218126372865,Johor Bahru
26/11/2020,20:16:08,566840981,nadianaimm,Naddddd🌷,sedih,@milatayweelee Paling sedih diorang stay sehab kena suruh stay last2 crew kapal selamatkan diri sendiri dulu. Dasar kampret. 🤬,in,https://twitter.com/nadianaimm/status/1331934763037278208,Johor Bahru
25/11/2020,19:44:12,8.91E+17,esahhh_,Aisah,sedih,"Bila kau sedih jangan cari dia. Sebab apa? Sebab walaupun dia tahu cara nak bahagiakan kau, dia tetap tak buat. Nothing. Jadi lebih baik, settle dengan diri sendiri. Better.",in,https://twitter.com/esahhh_/status/1331564339157843971,Johor Bahru
25/11/2020,17:42:27,9.97E+17,nisanzlyn,nicalyn,kecewa,aku kecewa dengan diri sendiri 🥺,in,https://twitter.com/nisanzlyn/status/1331533698626244611,Johor Bahru
24/11/2020,8:59:53,1354228176,jalil_iskandar,Y.M.,bunuh diri,"""Org kayuh 45mins - 1 jam tu kayuhhh je.... kita kayuh 20mins w high resistance baru warm up jee lepaas tu kita bunuh diri""  🤣🤣🤣🤣😂",in,https://twitter.com/Jalil_Iskandar/status/1331039804121698305,Johor Bahru
23/11/2020,12:13:59,401213929,abdullatiffazmi,Coffee With Pastel,kecewa,"dengan tgah kecewa dengan hidup, jumaat ni last day kerja, ipa x keluar lagi result, semalam kerja part time smpai 1 pagi, niat kecil nak sambung master x tertunai lagi, fikir kewangan semakin mengecil, border buka 2 tahun lagi.   tahu, bunuh diri itu sesuatu benda dimurkai allah",in,https://twitter.com/ABDULLATIFFAZMI/status/1330726263086977024,Johor Bahru
22/11/2020,2:39:07,22144476,zaihanisme,Zaihan Kariyani,bunuh diri,"@xpac_2k @kuasasiswa Apa kata kau doakan dia bunuh diri, tiap kali kau solat? Lima kali sehari, kalau hari-hari mesti Allah kabulkan doa tu? Dari timeline, aku rasa kau tak tinggalkan solat, kan?   👀",in,https://twitter.com/zaihanisme/status/1330219205619232768,Johor Bahru
21/11/2020,2:28:39,52997613,insanbiasajela,عزمير زاكي,bunuh diri,Whoaa.. Tggi kes bunuh diri &amp; Johor paling tinggi.. 🤦🏽‍♂️,in,https://twitter.com/insanbiasajela/status/1329854181599965184,Johor Bahru
18/11/2020,21:00:29,8.96E+17,hady_razak,HadyRazak,sedih,"Rasa tanak teruskan hidup boleh tak, sebab diri saya hanya buat orang lain sedih jer 🙏",in,https://twitter.com/hady_razak/status/1329046820899590145,Johor Bahru
16/11/2020,23:36:43,195690494,lenatikah,🇲🇾 Lena 🌺,marah,I mean aku marah jugak tp takde la cakap macam takde iman ko tau. Tak faham doh dia ni bad mood semua dia tapau. Baguslah dulu cakap org kan skrg diri sendiri jadi tulah lain kali jangan tunding jari dkt org mmg Allah bagi satu hari nnt.,in,https://twitter.com/lenatikah/status/1328361364847427585,Johor Bahru
16/11/2020,15:59:32,134740930,shah_indra,𝘔𝘳.𝘉𝘳𝘪𝘨𝘩𝘵𝘴𝘪𝘥𝘦 ✧🌙,sedih,@annamohktarz Betul tu anna.. sedih ada kwn rapat i kt fb siap ckp “org main twitter ni bodoh”. Ermm padahal dia tahu i kwn dia yg main twitter. Ntah kenapa bila bercakap tak fikir &amp; rasa diri dia shj yg betul. Pastu sanggup create acc Twitter nk stalk ye.. so toxic people ni bye2 diucapkan.,in,https://twitter.com/Shah_Indra/status/1328246310982479872,Johor Bahru
15/11/2020,1:58:34,257975602,meanmijer,Mijër,bunuh diri,Silap silap kadar bunuh diri ni makin lama makin meningkat sebab ramaj gila yang stress dengan pkp ni.,in,https://twitter.com/MeanMijer/status/1327672287508611072,Johor Bahru
10/11/2020,22:39:32,8.91E+17,esahhh_,Aisah,sedih,Mem 'sedih le kalau kau nak reward diri kau masa birthday kau'  :))),in,https://twitter.com/esahhh_/status/1326172645155504128,Johor Bahru
7/11/2020,22:58:37,178704712,naqiyananis,anıs,sedih,Sedih pulak dah sampai last page. Sejujurnya aku rasa happy bila baca buku ni sebab 95% boleh relate dengan diri sendiri. Rasa macam finally ada jugak orang acknowledge kita. Terima kasih penulis @AimanPsikologi @aqilamasri 🥺  https://t.co/WZeeDYUoO8,in,https://twitter.com/NaqiyanAnis/status/1325090284686905344,Johor Bahru
7/11/2020,12:59:37,609277610,farrahannis,Ferr.,sedih,"I pandai bila advice kawan tgh down ke sedih, tapi bila kena kat diri sendiri tak boleh handle haih",in,https://twitter.com/FarraHannis/status/1324939541526949890,Johor Bahru
6/11/2020,20:43:04,1141700714,hqlarshd,Qal,bunuh diri,@zatybaha Tak. Nanti bunuh diri mcm uncle tu.,in,https://twitter.com/hqlarshd/status/1324693782734884865,Johor Bahru
3/11/2020,16:05:34,353128154,nataashalee,Shaeee,bunuh diri,@abdul_mallek90 Sebelum bunuh diri tu santau la sape yang sebar 😭😭 biar sama2 menderita sampai kiamat,in,https://twitter.com/NataashaLee/status/1323536787331952643,Johor Bahru
3/11/2020,10:41:59,2903187272,pmrutcjohor,Pusat Maklumat Rakyat UTC Johor,#COVID19,Gunakan telefon pintar anda untuk 'scan QR code' aplikasi MySejahtera atau tulis butir diri dgn betul dalam buku rekod yang telah disediakan apabila sampai di premis.  Sumber: @KKMPutrajaya   #COVID19 #KitaTeguhKitaMenang #KomunikasiKita #JabatanPenerangan #MakmurJohor #Jauharku,in,https://twitter.com/pmrutcjohor/status/1323455352654843904,Johor Bahru
3/11/2020,10:06:57,235877659,eelharm,الهام,bunuh diri,@Zara_Syed Bunuh diri?,in,https://twitter.com/eelharm/status/1323446537603592192,Johor Bahru
1/11/2020,13:39:57,458046028,aqwaasyraff,Aqwa,marah,"Sebab tu la malas berjanji,  Aku janji dengan diri sendiri nak balik kl minggu ni pun aku jadi marah dengan diri sendiri sebab tak boleh balik. 😩😩  Aishhhh",in,https://twitter.com/AqwaAsyraff/status/1322775363773067264,Johor Bahru
30/10/2020,14:52:23,95638967,kartunisgandum,Ariff Eye Ahmad ®,murung,duit KWSP duit simpanan pekerja.duit ni la nak bantu pekerja / yg kena buang kerja dikala covid . nak tgk depa bunuh diri akibat murung ka?,in,https://twitter.com/KartunisGandum/status/1322068815648153600,Johor Bahru
28/10/2020,22:10:20,425858443,farisaddy,Faris Addy,marah,"Teringin nak jadi manusia yang boleh tahan diri dari marah dan boleh sabar dengan semua benda tapi kita cuma manusia biasa, kadang-kadang tewas juga.",in,https://twitter.com/FarisAddy/status/1321454253135646720,Johor Bahru
